skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
107,5.MD.C.5c,Volume of Compound Rectangular Prisms,55693,106,5.MD.C.5b,Volume of Rectangular Prisms,8884
76,5.NBT.A.1,Relationships Between Place Values,,,,,
77,5.NBT.A.2,Multiplying and Dividing by Powers of 10,37002,40,4.NBT.A.1,Place Value Relationships,
1097,5.NBT.A.2,Write powers of 10 with exponents,,,,,
1096,5.NBT.A.2,Multiply & Divide by powers of 10 (decimal placement),,,,,
78,5.NBT.A.3a,Reading and Writing Decimals,73681,76,5.NBT.A.1,Relationships Between Place Values,
1098,5.NBT.A.3a,Decimals- expanded form,,,,,
79,5.NBT.A.3b,Comparing Positive Decimals,41300,78,5.NBT.A.3a,Reading and Writing Decimals,73681
80,5.NBT.A.4,Rounding to any decimal place,,,,,
81,5.NBT.B.5,Multiplying Whole Numbers Fluently,26695,45,4.NBT.B.5,Multiplying Whole Numbers,26783
82,5.NBT.B.6,Dividing Whole Numbers,26468,81,5.NBT.B.5,Multiplying Whole Numbers Fluently,26695
1099,5.NBT.B.7,Subtract Decimals,,,,,
1101,5.NBT.B.7,Divide Decimals,,,,,
1100,5.NBT.B.7,Multiplying Decimals Using Standard Algorithm,,,,,
83,5.NBT.B.7,Add Decimals,,,,,
86,5.NF.A.1,Subtracting Proper Fractions,38719,47,4.NF.A.1,Equivalent Fractions,39181
84,5.NF.A.1,Adding Proper Fractions,38715,51,4.NF.B.3c,Adding Mixed Numbers - Like Denominators,38729
86,5.NF.A.1,Subtracting Proper Fractions,38719,52,4.NF.B.3c,Subtracting Mixed Numbers - Like Denominators,38734
85,5.NF.A.1,Adding Mixed Numbers,38731,84,5.NF.A.1,Adding Proper Fractions,38715
87,5.NF.A.1,Subtracting Mixed Numbers,38736,86,5.NF.A.1,Subtracting Proper Fractions,38719
84,5.NF.A.1,Adding Proper Fractions,38715,47,4.NF.A.1,Equivalent Fractions,39181
88,5.NF.A.2,Word problems addition & subtraction fractions ,,,,,
89,5.NF.B.3,Word Problems with Fraction as Division,,,,,
90,5.NF.B.4a,Multiplying Fractions,164494,45,4.NBT.B.5,Multiplying Whole Numbers,26783
1102,5.NF.B.4a,Multiplication Fractions by Whole Number,,,,,
91,5.NF.B.4b,Area of rectangle w/ fractional sides,,,,,
92,5.NF.B.5a,Compare sizes of factors and products,,,,,
93,5.NF.B.5b,Multiplication as scaling,,,,,
94,5.NF.B.6,Multiplying Fractions - Word Problems,34259,47,4.NF.A.1,Equivalent Fractions,39181
95,5.NF.B.7a,Divide unit fraction by whole number,,,,,
96,5.NF.B.7b,Divide whole number by unit fraction,,,,,
97,5.NF.B.7c,Word problems division of unit fractions and whole numbers,,,,,
73,5.OA.A.1,Order of Operations with Parenthesis,541189,,,,
74,5.OA.A.2,Write verbal expressions as numerical expressions,,,,,
75,5.OA.B.3,Generating Numerical Patterns,7179,39,4.OA.C.5,Pattern Finding,32177
140,6.EE.A.1,Evaluating Exponents,204176,77,5.NBT.A.2,Multiplying and Dividing by Powers of 10,37002
140,6.EE.A.1,Evaluating Exponents,204176,73,5.OA.A.1,Order of Operations with Parenthesis,541189
141,6.EE.A.2a,Picking Expressions From Choices ,,,,,
142,6.EE.A.2b,Vocabulary of expressions,,,,,
143,6.EE.A.2c,Substitution,,,,,
144,6.EE.A.2c,"Order of Operations +,-,/,* () positive reals",,,,,
145,6.EE.A.3,Distributive Property,11901,45,4.NBT.B.5,Multiplying Whole Numbers,26783
146,6.EE.A.4,Identify equivalent expressions,,,,,
147,6.EE.B.5,Substitution to solve equations,,,,,
148,6.EE.B.6,Picking Equation and Inequality from Choices,,,,,
149,6.EE.B.7,Solve 1 step equations from word problems,,,,,
150,6.EE.B.8,Write an inequality to represent a condition,,,,,
152,6.EE.C.9,Interpreting Coordinate Graphs,,,,,
151,6.EE.C.9,Making a Table from an Equation,,,,,
154,6.G.A.1,Area of Parallelograms,10764,156,6.G.A.1,Area of Triangles,10711
156,6.G.A.1,Area of Triangles,10711,45,4.NBT.B.5,Multiplying Whole Numbers,26783
156,6.G.A.1,Area of Triangles,10711,82,5.NBT.B.6,Dividing Whole Numbers,26468
154,6.G.A.1,Area of Parallelograms,10764,27,3.MD.C.7a,Area of Rectangles,10857
153,6.G.A.1,Area Irregular Figure,,,,,
155,6.G.A.1,Area of Trapezoids,10765,154,6.G.A.1,Area of Parallelograms,10764
157,6.G.A.2,Volume of rectangular prisms w/ fractional sides,,,,,
158,6.G.A.3,Use coordinates to find lengths,,,,,
159,6.G.A.4,Nets of 3D Figures,,,,,
1103,6.G.A.4,Surface area using nets,,,,,
121,6.NS.A.1,Dividing Fractions,164496,90,5.NF.B.4a,Multiplying Fractions,164494
122,6.NS.B.2,Dividing Multi-Digit Whole Numbers,204166,82,5.NBT.B.6,Dividing Whole Numbers,26468
126,6.NS.B.3,Dividing Positive Decimals,,82,5.NBT.B.6,Dividing Whole Numbers,26468
124,6.NS.B.3,Subtracting Positive Decimals,36551,76,5.NBT.A.1,Relationships Between Place Values,
126,6.NS.B.3,Dividing Positive Decimals,,77,5.NBT.A.2,Multiplying and Dividing by Powers of 10,37002
123,6.NS.B.3,Adding Positive Decimals,35094,43,4.NBT.B.4,Adding Whole Numbers,11827
125,6.NS.B.3,Multiplying Positive Decimals,39885,,,,
124,6.NS.B.3,Subtracting Positive Decimals,36551,44,4.NBT.B.4,Subtracting Whole Numbers,11833
123,6.NS.B.3,Adding Positive Decimals,35094,76,5.NBT.A.1,Relationships Between Place Values,
129,6.NS.B.4,Factor expressions (reverse distributive property),,,,,
128,6.NS.B.4,Least Common Multiple,,45,4.NBT.B.5,Multiplying Whole Numbers,26783
127,6.NS.B.4,Greatest Common Factor,6921,45,4.NBT.B.5,Multiplying Whole Numbers,26783
130,6.NS.B.4,Common Multiple,,,,,
131,6.NS.C.5,Use integers in real contexts,,,,,
132,6.NS.C.6a,Identify opposites of integers,,,,,
133,6.NS.C.6b,Recognize opposite orderd pairs as reflections,,,,,
134,6.NS.C.6c,Plotting on a Coordinate Plane,35008,108,5.G.A.1,Plotting in Quadrant I,
135,6.NS.C.7a,Comparing Integers on a Number Line,5956,137,6.NS.C.7c,Absolute Value,31825
136,6.NS.C.7b,Compare integers in contexts,5956,,,,
137,6.NS.C.7c,Absolute Value,31825,,,,
138,6.NS.C.7d,Absolute value in context,,,,,
139,6.NS.C.8,Find distance on coordinate plane in same quadrant,,,,,
